Location,Plot,1999  (nests/ha),2000  (nests/ha),2001  (nests/ha),2002  (nests/ha),2003  (nests/ha),2004  (nests/ha),2005  (nests/ha),2006  (nests/ha),2007  (nests/ha),2008  (nests/ha),2009  (nests/ha),2010  (nests/ha),2011  (nests/ha),2012  (nests/ha),2013  (nests/ha),2014  (nests/ha),2015  (nests/ha),2016  (nests/ha)
Emplacement ,Parcelle,1999 (nids/ha),2000  (nids/ha),2001 (nids/ha),2002 (nids/ha),2003 (nids/ha),2004 (nids/ha),2005 (nids/ha),2006 (nids/ha),2007 (nids/ha),2008 (nids/ha),2009 (nids/ha),2010 (nids/ha),2011 (nids/ha),2012 (nids/ha),2013 (nids/ha),2014 (nids/ha),2015 (nids/ha),2016 (nids/ha)
Green Cabin,1,0,3,3,4,0,1,7,1,3,11,4,0,0,0,0,3,5,NS
Green Cabin,2,3,1,4,0,1,0,2,4,3,2,5,4,4,2,0,0,3,7
Green Cabin,3,6,18,9,4,0,0,11,13,5,2,2,17,4,3,0,6,12,3
Green Cabin,4,11,6,9,1,2,0,8,6,9,2,1,0,6,2,0,3,22,5
Green Cabin,5,0,5,6,0,2,0,4,3,3,2,0,1,2,1,0,0,0,3
Green Cabin,6,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,3,5,2,0,3,6,0,3
Green Cabin,7,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,4,7,3,1,4,0,9,2
Green Cabin,8,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,6,1,0,1,4,3,3,5
Green Cabin,9,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,3,0,1,0,0,0,1,0
