surveyTargetID,surveyID,surveyTargetType,surveyTargetValue,includeOrExclude,isSurveyTargetFullyReported
P1.1A_taxon,P1.1A,taxon,Insecta,include,True
P1.1B_taxon,P1.1B,taxon,Insecta,include,True
P200.1A_taxon,P200.1A,taxon,Insecta,include,True
P200.1B_taxon,P200.1B,taxon,Insecta,include,True
P1.2A_taxon,P1.2A,taxon,Insecta,include,True
P1.2B_taxon,P1.2B,taxon,Insecta,include,True
P200.2A_taxon,P200.2A,taxon,Insecta,include,True
P200.2B_taxon,P200.2B,taxon,Insecta,include,True
P2.1A_taxon,P2.1A,taxon,Insecta,include,True
P2.1B_taxon,P2.1B,taxon,Insecta,include,True
P2.2A_taxon,P2.2A,taxon,Insecta,include,True
P2.2B_taxon,P2.2B,taxon,Insecta,include,True
P3.1A_taxon,P3.1A,taxon,Insecta,include,True
P3.1B_taxon,P3.1B,taxon,Insecta,include,True
P310.1A_taxon,P310.1A,taxon,Insecta,include,True
P310.1B_taxon,P310.1B,taxon,Insecta,include,True
P3.2A_taxon,P3.2A,taxon,Insecta,include,True
P3.2B_taxon,P3.2B,taxon,Insecta,include,True
P196.1A_taxon,P196.1A,taxon,Insecta,include,True
P196.1B_taxon,P196.1B,taxon,Insecta,include,True
P4.1A_taxon,P4.1A,taxon,Insecta,include,True
P4.1B_taxon,P4.1B,taxon,Insecta,include,True
P4.2A_taxon,P4.2A,taxon,Insecta,include,True
P4.2B_taxon,P4.2B,taxon,Insecta,include,True
P6.1A_taxon,P6.1A,taxon,Insecta,include,True
P6.1B_taxon,P6.1B,taxon,Insecta,include,True
P6.2A_taxon,P6.2A,taxon,Insecta,include,True
P6.2B_taxon,P6.2B,taxon,Insecta,include,True
P7.1A_taxon,P7.1A,taxon,Insecta,include,True
P7.1B_taxon,P7.1B,taxon,Insecta,include,True
P283.1A_taxon,P283.1A,taxon,Insecta,include,True
P283.1B_taxon,P283.1B,taxon,Insecta,include,True
P7.2A_taxon,P7.2A,taxon,Insecta,include,True
P7.2B_taxon,P7.2B,taxon,Insecta,include,True
P8.1A_taxon,P8.1A,taxon,Insecta,include,True
P8.1B_taxon,P8.1B,taxon,Insecta,include,True
P199.1A_taxon,P199.1A,taxon,Insecta,include,True
P199.1B_taxon,P199.1B,taxon,Insecta,include,True
P8.2A_taxon,P8.2A,taxon,Insecta,include,True
P8.2B_taxon,P8.2B,taxon,Insecta,include,True
P302.1A_taxon,P302.1A,taxon,Insecta,include,True
P302.1B_taxon,P302.1B,taxon,Insecta,include,True
P9.1A_taxon,P9.1A,taxon,Insecta,include,True
P9.1B_taxon,P9.1B,taxon,Insecta,include,True
P302.2A_taxon,P302.2A,taxon,Insecta,include,True
P302.2B_taxon,P302.2B,taxon,Insecta,include,True
P9.2A_taxon,P9.2A,taxon,Insecta,include,True
P9.2B_taxon,P9.2B,taxon,Insecta,include,True
P10.1A_taxon,P10.1A,taxon,Insecta,include,True
P10.1B_taxon,P10.1B,taxon,Insecta,include,True
P10.2A_taxon,P10.2A,taxon,Insecta,include,True
P10.2B_taxon,P10.2B,taxon,Insecta,include,True
P346.2A_taxon,P346.2A,taxon,Insecta,include,True
P346.2B_taxon,P346.2B,taxon,Insecta,include,True
P11.1A_taxon,P11.1A,taxon,Insecta,include,True
P11.1B_taxon,P11.1B,taxon,Insecta,include,True
P209.1A_taxon,P209.1A,taxon,Insecta,include,True
P209.1B_taxon,P209.1B,taxon,Insecta,include,True
P11.2A_taxon,P11.2A,taxon,Insecta,include,True
P11.2B_taxon,P11.2B,taxon,Insecta,include,True
P209.2A_taxon,P209.2A,taxon,Insecta,include,True
P209.2B_taxon,P209.2B,taxon,Insecta,include,True
P12.1A_taxon,P12.1A,taxon,Insecta,include,True
P12.1B_taxon,P12.1B,taxon,Insecta,include,True
P210.1A_taxon,P210.1A,taxon,Insecta,include,True
P210.1B_taxon,P210.1B,taxon,Insecta,include,True
P12.2A_taxon,P12.2A,taxon,Insecta,include,True
P12.2B_taxon,P12.2B,taxon,Insecta,include,True
P210.2A_taxon,P210.2A,taxon,Insecta,include,True
P210.2B_taxon,P210.2B,taxon,Insecta,include,True
P13.1A_taxon,P13.1A,taxon,Insecta,include,True
P13.1B_taxon,P13.1B,taxon,Insecta,include,True
P300.1A_taxon,P300.1A,taxon,Insecta,include,True
P300.1B_taxon,P300.1B,taxon,Insecta,include,True
P13.2A_taxon,P13.2A,taxon,Insecta,include,True
P13.2B_taxon,P13.2B,taxon,Insecta,include,True
P300.2A_taxon,P300.2A,taxon,Insecta,include,True
P300.2B_taxon,P300.2B,taxon,Insecta,include,True
P15.1A_taxon,P15.1A,taxon,Insecta,include,True
P15.1B_taxon,P15.1B,taxon,Insecta,include,True
P224.1A_taxon,P224.1A,taxon,Insecta,include,True
P224.1B_taxon,P224.1B,taxon,Insecta,include,True
P15.2A_taxon,P15.2A,taxon,Insecta,include,True
P15.2B_taxon,P15.2B,taxon,Insecta,include,True
P224.2A_taxon,P224.2A,taxon,Insecta,include,True
P224.2B_taxon,P224.2B,taxon,Insecta,include,True
P16.1A_taxon,P16.1A,taxon,Insecta,include,True
P16.1B_taxon,P16.1B,taxon,Insecta,include,True
P16.2A_taxon,P16.2A,taxon,Insecta,include,True
P16.2B_taxon,P16.2B,taxon,Insecta,include,True
P323.1A_taxon,P323.1A,taxon,Insecta,include,True
P323.1B_taxon,P323.1B,taxon,Insecta,include,True
P17.1A_taxon,P17.1A,taxon,Insecta,include,True
P17.1B_taxon,P17.1B,taxon,Insecta,include,True
P270.1A_taxon,P270.1A,taxon,Insecta,include,True
P270.1B_taxon,P270.1B,taxon,Insecta,include,True
P17.2A_taxon,P17.2A,taxon,Insecta,include,True
P17.2B_taxon,P17.2B,taxon,Insecta,include,True
P270.2A_taxon,P270.2A,taxon,Insecta,include,True
P270.2B_taxon,P270.2B,taxon,Insecta,include,True
P18.1A_taxon,P18.1A,taxon,Insecta,include,True
P18.1B_taxon,P18.1B,taxon,Insecta,include,True
P18.2A_taxon,P18.2A,taxon,Insecta,include,True
P18.2B_taxon,P18.2B,taxon,Insecta,include,True
P19.1A_taxon,P19.1A,taxon,Insecta,include,True
P19.1B_taxon,P19.1B,taxon,Insecta,include,True
P195.1A_taxon,P195.1A,taxon,Insecta,include,True
P195.1B_taxon,P195.1B,taxon,Insecta,include,True
P19.2A_taxon,P19.2A,taxon,Insecta,include,True
P19.2B_taxon,P19.2B,taxon,Insecta,include,True
P20.1A_taxon,P20.1A,taxon,Insecta,include,True
P20.1B_taxon,P20.1B,taxon,Insecta,include,True
P284.1A_taxon,P284.1A,taxon,Insecta,include,True
P284.1B_taxon,P284.1B,taxon,Insecta,include,True
P20.2A_taxon,P20.2A,taxon,Insecta,include,True
P20.2B_taxon,P20.2B,taxon,Insecta,include,True
P21.1A_taxon,P21.1A,taxon,Insecta,include,True
P21.1B_taxon,P21.1B,taxon,Insecta,include,True
P269.1A_taxon,P269.1A,taxon,Insecta,include,True
P269.1B_taxon,P269.1B,taxon,Insecta,include,True
P21.2A_taxon,P21.2A,taxon,Insecta,include,True
P21.2B_taxon,P21.2B,taxon,Insecta,include,True
P22.1A_taxon,P22.1A,taxon,Insecta,include,True
P22.1B_taxon,P22.1B,taxon,Insecta,include,True
P22.2A_taxon,P22.2A,taxon,Insecta,include,True
P22.2B_taxon,P22.2B,taxon,Insecta,include,True
P23.1A_taxon,P23.1A,taxon,Insecta,include,True
P23.1B_taxon,P23.1B,taxon,Insecta,include,True
P194.1A_taxon,P194.1A,taxon,Insecta,include,True
P194.1B_taxon,P194.1B,taxon,Insecta,include,True
P23.2A_taxon,P23.2A,taxon,Insecta,include,True
P23.2B_taxon,P23.2B,taxon,Insecta,include,True
P228.1A_taxon,P228.1A,taxon,Insecta,include,True
P228.1B_taxon,P228.1B,taxon,Insecta,include,True
P24.1A_taxon,P24.1A,taxon,Insecta,include,True
P24.1B_taxon,P24.1B,taxon,Insecta,include,True
P228.2A_taxon,P228.2A,taxon,Insecta,include,True
P228.2B_taxon,P228.2B,taxon,Insecta,include,True
P24.2A_taxon,P24.2A,taxon,Insecta,include,True
P24.2B_taxon,P24.2B,taxon,Insecta,include,True
P25.1A_taxon,P25.1A,taxon,Insecta,include,True
P25.1B_taxon,P25.1B,taxon,Insecta,include,True
P279.1A_taxon,P279.1A,taxon,Insecta,include,True
P279.1B_taxon,P279.1B,taxon,Insecta,include,True
P25.2A_taxon,P25.2A,taxon,Insecta,include,True
