surveyID,samplingPerformedByID,verbatimSiteNames,verbatimSiteDescription,reportedWeather,isSamplingEffortReported,hasMaterialSamples,eventID,verbatimTargetScope,protocolNames,protocolDescriptions,protocolReferences,isAbundanceReported,materialSampleTypes
P1.1A,P1,DOFAtlasIIIQuadrantID: 2394,"land cover: wet | subland cover: beach meadow, marsh, meadow, lake",Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P1.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P1.1B,P1,DOFAtlasIIIQuadrantID: 2394,"land cover: wet | subland cover: beach meadow, marsh, meadow, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 25-30,True,True,P1.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P200.1A,P200,DOFAtlasIIIQuadrantID: 2394,"land cover: wet | subland cover: beach meadow, marsh, meadow, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P200.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P200.1B,P200,DOFAtlasIIIQuadrantID: 2394,"land cover: wet | subland cover: beach meadow, marsh, meadow, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P200.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P1.2A,P1,DOFAtlasIIIQuadrantID: 2395,land cover: dry | subland cover: moor,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P1.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P1.2B,P1,DOFAtlasIIIQuadrantID: 2395,land cover: dry | subland cover: moor,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P1.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P200.2A,P200,DOFAtlasIIIQuadrantID: 2395,land cover: dry | subland cover: moor,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P200.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P200.2B,P200,DOFAtlasIIIQuadrantID: 2395,land cover: dry | subland cover: moor,Wind: Moderate breeze 5.5-7.9 | Temperature: 20-24,True,True,P200.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P2.1A,P2,DOFAtlasIIIQuadrantID: 7645,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P2.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P2.1B,P2,DOFAtlasIIIQuadrantID: 7645,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P2.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
