event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29822848341,true,2015-10-29 20:18:00.000,129.160752,35.158655,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848342,true,2015-10-30 08:00:00.000,129.81614,35.12596,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848343,true,2015-10-31 17:54:00.000,129.98765,34.5278,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848344,true,2015-11-01 07:16:00.000,129.96372,34.27397,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848345,true,2015-11-02 12:20:00.000,130.53705,34.13173,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848346,true,2015-11-03 10:06:00.000,130.88737,34.05602,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848347,true,2015-11-04 19:57:00.000,130.78543,33.96573,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848348,true,2015-11-05 08:55:00.000,130.59938,33.89685,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848349,true,2015-11-06 07:55:00.000,130.3614,33.86828,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848350,true,2015-11-08 07:34:00.000,130.00585,33.50558,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848351,true,2015-11-09 07:22:00.000,129.87557,33.58725,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848352,true,2015-11-10 17:43:00.000,129.85839,33.55514,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848353,true,2015-11-11 10:57:00.000,129.53197,33.51522,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848354,true,2015-11-12 00:00:00.000,129.50897,33.53681,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848355,true,2015-11-13 06:23:00.000,128.75143,33.3617,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848356,true,2015-11-14 08:34:00.000,128.67518,32.91264,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848357,true,2015-11-15 09:36:00.000,128.70227,32.77213,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848358,true,2015-11-20 03:24:00.000,128.7337,32.78149,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
29822848359,true,2015-12-15 02:02:00.000,123.98611,24.23517,"radio-transmitter","Chelonia mydas","152987-2","KOR-1","Marine bioresource conservation and restoration research"
