event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29822963692,true,2016-09-02 12:00:00.000,126.881192,33.381974,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963693,true,2016-09-03 08:57:00.000,126.7473,33.2753,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963694,true,2016-09-07 12:55:00.000,126.95827,33.23686,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963695,true,2016-09-08 21:36:00.000,127.15063,32.97216,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963696,true,2016-09-09 20:22:00.000,127.36074,32.92458,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963697,true,2016-09-10 00:35:00.000,127.38797,32.91402,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963698,true,2016-09-11 06:04:00.000,127.517,33.01316,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963699,true,2016-09-12 22:09:00.000,127.49417,32.86146,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963700,true,2016-09-13 19:55:00.000,127.25473,32.94032,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963701,true,2016-09-14 20:50:00.000,126.90638,33.00444,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963702,true,2016-09-15 02:07:00.000,126.78574,33.03424,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963703,true,2016-09-16 23:22:00.000,126.23803,33.17733,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963704,true,2016-09-17 09:07:00.000,126.14854,33.18464,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963705,true,2016-09-18 22:30:00.000,126.29862,33.21743,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963706,true,2016-09-19 06:15:00.000,126.22234,33.15311,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963707,true,2016-09-20 04:26:00.000,126.01677,32.86099,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963708,true,2016-09-21 05:50:00.000,126.1289,32.69695,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963709,true,2016-09-22 22:19:00.000,125.87773,32.3644,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963710,true,2016-09-23 19:37:00.000,125.93923,32.07127,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963711,true,2016-09-24 22:35:00.000,126.07703,31.68623,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963712,true,2016-09-25 01:17:00.000,126.09743,31.65292,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963713,true,2016-09-26 08:42:00.000,125.76242,31.35082,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963714,true,2016-09-27 02:15:00.000,125.6742,31.38115,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963715,true,2016-09-28 09:17:00.000,125.45628,31.22249,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963716,true,2016-09-29 22:57:00.000,125.17935,31.19589,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963717,true,2016-09-30 20:45:00.000,125.29465,31.08772,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963718,true,2016-10-01 09:26:00.000,125.34415,31.01707,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963719,true,2016-10-02 08:56:00.000,125.3568,30.96291,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963720,true,2016-10-03 21:49:00.000,125.38273,30.90101,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963721,true,2016-10-04 22:24:00.000,125.07369,30.77814,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963722,true,2016-10-05 09:02:00.000,124.97982,30.56542,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963723,true,2016-10-06 23:26:00.000,124.99893,30.01103,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963724,true,2016-10-07 10:17:00.000,124.94731,29.9966,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963725,true,2016-10-08 09:07:00.000,125.25165,29.79254,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963726,true,2016-10-09 09:46:00.000,125.64335,29.62074,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963727,true,2016-10-10 01:59:00.000,125.92675,29.46615,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963728,true,2016-10-12 12:35:00.000,126.47903,28.64873,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963729,true,2016-10-13 09:02:00.000,126.49258,28.53243,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963730,true,2016-10-14 23:04:00.000,127.17823,28.65383,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963731,true,2016-10-15 04:40:00.000,127.26202,28.7394,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963732,true,2016-10-16 08:16:00.000,127.4998,29.23957,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963733,true,2016-10-17 09:26:00.000,127.83383,29.46574,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963734,true,2016-10-23 17:18:00.000,129.65444,28.9849,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
29822963735,true,2016-10-26 20:42:00.000,129.07389,28.08384,"radio-transmitter","Chelonia mydas","162391-2","KOR0004","Marine bioresource conservation and restoration research"
