event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29823098903,true,2021-08-26 12:00:00.000,126.412756,33.244914,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098904,true,2021-08-27 23:07:00.000,126.48222,33.21562,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098905,true,2021-08-28 20:26:00.000,126.48771,33.22151,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098906,true,2021-08-29 01:45:00.000,126.49162,33.22373,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098907,true,2021-08-30 08:54:00.000,126.51663,33.23456,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098908,true,2021-09-01 01:36:00.000,126.45481,33.22461,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098909,true,2021-09-02 09:57:00.000,126.48144,33.2191,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098910,true,2021-09-04 20:03:00.000,126.44272,33.23126,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098911,true,2021-09-05 10:10:00.000,126.47064,33.22025,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098912,true,2021-09-06 09:49:00.000,126.46684,33.2203,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098913,true,2021-09-08 21:21:00.000,126.46598,33.22044,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098914,true,2021-09-09 22:41:00.000,126.46787,33.22141,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098915,true,2021-09-10 10:04:00.000,126.42494,33.21003,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098916,true,2021-09-11 09:29:00.000,126.45782,33.21681,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
29823098917,true,2021-09-12 09:02:00.000,126.47779,33.22074,"radio-transmitter","Chelonia mydas","220427","KOR0148","Marine bioresource conservation and restoration research"
